record_id,station_id,river_name,state,date,month,rainfall_mm,upstream_rainfall_mm,forecast_rainfall_next24_mm,water_level_m,warning_level_m,danger_level_m,discharge_cumecs,temperature_c,humidity_pct,soil_moisture_pct,wind_speed_kmph,reservoir_release_cumecs,embankment_condition,historical_flood_freq,distance_to_river_km,elevation_m,population_density,flood_risk_score,alert_level,flood_occurred
1,STN0326,kosi,Gujarat,2024/04/01,4.0,23.0,19.2,20.3,6.24,7.46,8.71,1278.1,23.7,46.9,22.4,8.7,99.4, Moderate ,1.0,6.13,29.6,5678.0,0.464, Moderate ,No
2,STN0383,BRAHMAPUTRA,assam,2021-09-16,9.0,49.8,48.9,41.6,4.3,4.57,5.76,1374.6,33.0,87.7,72.0,24.2,61.5,POOR,0.0,3.28,187.3,5722.0,0.563,Moderate,0
3,STN0065,Yamuna,bihar,2018-01-21,1.0,33.8,34.5,23.7,6.26,8.31,9.31,2420.9,27.2,62.6,48.7,12.7,,Poor,0.0,8.72,399.8,6905.0,0.48,Moderate,0
4,STN0235,KRISHNA,odisha,01-23-2024,1.0,73.9,,51.9,4.07,3.76,5.04,1006.8,27.4,62.5,12.6,0.3,0.0,good,0.0,8.32,371.2,8660.0,0.394,HIGH,1
5,STN0452,Brahmaputra,Assam,19/05/2018,5.0,44.1,59.0,26.5,6.18,7.04,8.25,1121.3,33.5,60.3,34.7,21.1,83.5,moderate,0.0,2.08,327.3,10968.0,0.341,Low,0
6,stn0151,BRAHMAPUTRA,Assam,2023-08-30,8.0,58.9,55.4,60.9,5.38,5.69,7.1,918.6,33.5,75.8,71.1,15.9,177.7,good,2.0,0.83,380.8,5553.0,0.527,Moderate,0
7,STN0214,GODAVARI,west bengal,13/08/2015,8.0,425.6,391.3,477.8,7.14,3.73,4.91,1896.3,32.5,81.6,63.4,21.6,243.9, Moderate ,1.0,8.87,133.1,,1.148,SEVERE,1
8,STN0268,godavari,WEST BENGAL,2021-07-01,7.0,69.6,61.2,78.5,4.47,4.14,5.3,1584.2,35.6,79.4,76.2,0.0,182.9,poor,0.0,4.4,372.6,1602.0,0.619,HIGH,0
9,STN0468, Yamuna ,Bihar,03-25-2019,3.0,31.0,31.0,23.6,2.26,3.97,5.41,617.9,21.6,,23.1,25.0,79.0,good,0.0,7.41,70.1,6747.0,0.233, Low ,0
10,STN0100,MAHANADI,Madhya Pradesh,12/10/2015,10.0,26.1,27.7,26.6,7.55,8.32,9.43,1660.1,19.6,54.0,45.5,12.5,151.9,moderate,0.0,9.1,346.0,3458.0,0.473,moderate,0
11,STN0023,kosi,gujarat,2019-12-05,12.0,81.2,112.9,29.4,1.72,3.53,4.96,460.2,28.1,47.2,38.7,11.2,65.4,moderate ,1.0,10.3,21.4,7473.0,0.276,LOW,0
12,STN0496,ganga,UTTAR PRADESH,25/10/2016,10.0,77.7,56.7,75.3,3.28,4.14,5.52,1005.7,26.2,41.3,20.3,0.0,85.0,Moderate,0.0,13.99,294.6,4215.0,0.395,low,0
13,STN0277, Ganga ,UTTAR PRADESH,2020-11-19,11.0,18.1,14.9,23.8,3.37,3.71,5.06,1357.2,14.7,49.0,40.3,12.8,189.4,Good,0.0,7.26,37.0,3423.0,0.435,Low,0
14,STN0313,TAPI,karnataka,24/12/2021,12.0,28.8,31.4,23.1,5.43,5.95,6.86,950.4,32.9,58.0,38.5,24.3,57.2,good,0.0,1.75,313.4,314.0,0.48,moderate,0
15,STN0023,kosi,GUJARAT,2021-11-14,11.0,8.1,4.9,0.0,3.15,3.53,4.96,1186.2,26.3,59.7,51.0,19.1,88.3,Good,0.0,4.27,21.4,7473.0,0.367,Low,0
16,stn0381,Ganga,Uttar Pradesh,07/11/2022,11.0,82.0,105.8,70.0,,6.74,7.97,1953.9,28.7,76.7,26.6,17.6,108.5,poor,0.0,12.99,20.2,3127.0,0.492,moderate,0
17,STN0059,Cauvery, Andhra Pradesh ,2017-03-16,3.0,21.1,26.0,24.2,2.74,3.86,4.78,584.1,,64.6,28.0,10.5,103.8,por,0.0,12.86,90.2,7670.0,0.344,Low,0
18,STN0387,KRISHNA,ODISHA,04/05/2017,5.0,73.5,77.9,62.3,5.89,6.56,7.42,927.6,32.8,61.3,47.3,9.0,0.0,POOR,0.0,13.61,256.5,11661.0,0.477,Moderate,0
19,STN0496,ganga,UTTAR PRADESH,29/09/2024,9.0,43.5,58.8,53.2,3.36,4.14,5.52,890.4,28.6,79.4,44.7,,139.7,Modrate,0.0,10.31,294.6,4215.0,0.423,LOW,0
20,Stn-0297,krishna,odisha,2024-06-30,6.0,109.9,102.0,127.1,3.32,4.46,5.94,1301.5,34.0,,59.6,18.6,252.8,GOOD,1.0,9.03,15.2,5578.0,0.396,LOW,0
21,stn0283,Cauvery, Andhra Pradesh ,2024-08-17,8.0,79.1,66.0,98.5,2.38,4.11,5.35,609.5,24.6,72.1,62.9,18.8,231.2,Moderate,3.0,8.27,258.2,,0.362,Low,0
22,STN0397, Yamuna ,Bihar,27/02/2023,2.0,30.4,29.9,21.3,7.67,8.24,9.16,1646.9,19.4,57.5,49.3,20.3,0.0, Good ,1.0,12.0,287.9,2706.0,0.45,Moderate,0
23,STN0070,Tapi, Karnataka ,09-03-2015,9.0,219.8,177.0,131.7,9.51,8.19,9.32,2013.2,27.0,75.1,56.7,11.2,174.4, Moderate ,0.0,13.28,314.0,,0.715, Severe ,1
